title,description,company,location,area,date,image
International aid/development worker,"Suscipit explicabo cupiditate accusantium error odit voluptate. Quam voluptas molestiae tenetur.
Dolor repudiandae dolor hic molestias sit. Consequatur qui repellendus iure nesciunt nulla. Odio explicabo voluptatem fugiat.",Consultores Globales,Pasto,Recursos Humanos,2022-03-11,vacante/images/default.jpeg
"Conservation officer, nature","Voluptatum temporibus ratione voluptatum quis doloribus. Eaque velit optio veniam provident.
Tempore voluptate ipsam culpa quos.
Maiores omnis pariatur excepturi.",Proyectos Empresariales,Bogotá,Recursos Humanos,2024-11-24,vacante/images/default.jpeg
"Production assistant, television",Quaerat itaque fugit beatae autem quis optio magni. Placeat blanditiis cumque expedita minus. Consequatur officiis aut atque repudiandae atque ipsum excepturi. Distinctio repudiandae perferendis fugit consectetur.,Sistemas Digitales S.A.,Villavicencio,Consultoría,2021-04-23,vacante/images/default.jpeg
Science writer,"Veniam est eaque adipisci itaque esse. Nihil animi repellat enim aspernatur eius nihil. Deleniti possimus voluptatum ipsam quod exercitationem illum.
Qui sapiente quis. Beatae expedita debitis hic.",Soluciones Financieras Ltda.,Bucaramanga,Recursos Humanos,2020-02-25,vacante/images/default.jpeg
Medical physicist,"Dolore quidem commodi blanditiis fugit maiores laboriosam. Possimus suscipit illo quae est aliquid.
Hic occaecati eveniet doloribus occaecati quia. Ipsum maxime id possimus possimus. Dignissimos nostrum id sed. Ad possimus error libero.",Servicios de Infraestructura TIC,Cartagena,Administración,2024-12-12,vacante/images/default.jpeg
Recycling officer,"Earum optio eligendi modi enim. Reprehenderit beatae necessitatibus eveniet.
Hic corporis eveniet. Iusto ut totam ab iure.
Totam natus ullam vel tempore. Vero eaque consequuntur sapiente.",Corporación Innovadora,Manizales,Investigación,2022-02-05,vacante/images/default.jpeg
"Conservation officer, historic buildings",Modi itaque a quod ullam. Quasi incidunt nobis ratione deserunt dolores. Quidem nulla saepe exercitationem aspernatur. Nostrum harum natus porro perspiciatis aliquam.,Proyectos Empresariales,Cartagena,Investigación,2024-08-18,vacante/images/default.jpeg
"Psychologist, educational",Odit nulla vitae provident nostrum. Occaecati distinctio autem. Cumque ratione ut aliquam vero nobis. Porro porro praesentium nulla at ratione quia laudantium.,Proyectos Empresariales,Bucaramanga,Ventas,2020-03-27,vacante/images/default.jpeg
"Lighting technician, broadcasting/film/video","Non officia alias. Fugiat atque aliquid corporis cupiditate quo molestias. Provident neque delectus adipisci.
Iure qui fugit. Cum ex modi cum consectetur accusantium magnam.",Compañía Nacional de Tecnología,Cali,Consultoría,2022-04-05,vacante/images/default.jpeg
Bonds trader,"Labore quod quidem. Nostrum facilis blanditiis dolorum aliquid. Eos perferendis fugit.
Dignissimos dignissimos unde. Facilis eveniet iste et atque alias qui.",Servicios de Infraestructura TIC,Ibagué,Consultoría,2021-12-20,vacante/images/default.jpeg
"Sales professional, IT","Minus est temporibus alias. Autem quae eum quod vero dicta.
Quibusdam magnam suscipit amet aut repudiandae cum similique. Enim eligendi vel fugit ipsam itaque. Debitis possimus optio voluptates quae facilis.",Corporación Innovadora,Ibagué,Desarrollo,2021-10-25,vacante/images/default.jpeg
Futures trader,"Aliquam vitae blanditiis consectetur.
Ipsam sint maxime ullam voluptatum accusantium. Sunt dolorem libero alias temporibus. Error expedita aliquam.
Nemo reiciendis architecto explicabo quo. Porro error qui iste recusandae iste.",Corporación Innovadora,Medellín,Administración,2020-09-03,vacante/images/default.jpeg
Office manager,"Laudantium ex voluptate deleniti ipsam. Esse similique delectus optio.
Culpa corrupti excepturi provident laborum impedit. Magni corrupti perferendis veniam ullam. Voluptatum doloribus earum qui iste.",Sistemas Digitales S.A.,Medellín,Desarrollo,2020-08-23,vacante/images/default.jpeg
Professor Emeritus,"Deleniti architecto fugit repellat nam commodi corporis. Architecto praesentium consequatur sequi. Aliquid enim dicta quo quasi eligendi ut.
Cupiditate quas deleniti at.",Servicios de Infraestructura TIC,Neiva,Desarrollo,2021-06-13,vacante/images/default.jpeg
Insurance risk surveyor,"Accusantium ex dicta tempora similique deserunt. Quam dolore quaerat laborum. Omnis eveniet accusantium iusto. Ullam distinctio dolorum ab.
Quas saepe eos ad tenetur. Repellat consectetur consequuntur doloremque vero ratione consequatur et.",Compañía Nacional de Tecnología,Cartagena,Diseño,2022-01-11,vacante/images/default.jpeg
Analytical chemist,"Ducimus hic quam nulla. Explicabo amet ex asperiores doloremque. Qui dolore molestias impedit veniam.
Veniam molestias repudiandae accusamus. Asperiores voluptatum quidem quam totam totam eum numquam.",Soluciones Financieras Ltda.,Santa Marta,Ventas,2021-01-04,vacante/images/default.jpeg
Ecologist,"Itaque animi quasi. Qui nisi aut in.
Reiciendis dolorem quae sint. Voluptatum porro sapiente non temporibus. Voluptatibus tempora corrupti dicta vitae aliquam voluptates.",Proyectos Empresariales,Barranquilla,Diseño,2022-05-06,vacante/images/default.jpeg
Animal nutritionist,"Placeat eligendi necessitatibus reprehenderit alias. Enim tempore commodi incidunt tenetur velit.
Minus laudantium non neque autem explicabo iusto. Ipsam harum tenetur voluptate. Ducimus velit quidem itaque rem expedita quam.",Proyectos Empresariales,Pereira,Contabilidad,2020-02-10,vacante/images/default.jpeg
Chief Marketing Officer,"Ab vero harum iusto. Eaque illo itaque rerum perspiciatis ducimus officiis quam. Mollitia veritatis dolor.
Ut iusto voluptas. Facere facere aut fugiat fuga. Excepturi ad explicabo at magni.",Sistemas Digitales S.A.,Bucaramanga,Investigación,2022-02-22,vacante/images/default.jpeg
Museum/gallery conservator,"Ipsa cupiditate modi qui. Quibusdam numquam voluptatem perspiciatis deleniti alias quisquam. Nesciunt cupiditate nam architecto qui iusto.
Repudiandae temporibus expedita dolorem laboriosam. Libero quam consequuntur aperiam.",Grupo Empresarial Latinoamericano,Cartagena,Contabilidad,2022-11-22,vacante/images/default.jpeg
Public librarian,"Maxime doloribus nemo eum quaerat. Sed mollitia minus. Assumenda cumque dignissimos ea modi.
Fuga numquam eveniet. Reiciendis consequuntur architecto iure earum. Minus ipsa unde veritatis quidem dicta soluta.",Soluciones Financieras Ltda.,Santa Marta,Desarrollo,2025-02-22,vacante/images/default.jpeg
"Biochemist, clinical","Ea minima cupiditate provident. Cumque voluptatem a laborum. Blanditiis earum vero rem ad deserunt.
Voluptatem eos non a fugiat. Sequi quos excepturi occaecati fuga aperiam.",Sistemas Digitales S.A.,Armenia,Marketing,2022-02-21,vacante/images/default.jpeg
Museum/gallery conservator,"Exercitationem ipsa amet officiis. Nihil error excepturi veritatis.
Nihil amet beatae magnam tempore illum veniam accusamus. Tenetur quod accusantium ea nam. Unde cum aliquid ex dolor.",Proyectos Empresariales,Manizales,Contabilidad,2021-06-29,vacante/images/default.jpeg
"Chemist, analytical",Maxime temporibus voluptatibus repudiandae facere labore. Ullam iusto animi et. Modi ea eveniet quo veniam.,Sistemas Digitales S.A.,Santa Marta,Investigación,2020-01-20,vacante/images/default.jpeg
Licensed conveyancer,"Laboriosam tempore excepturi voluptas. Ducimus accusamus culpa ex porro explicabo.
Blanditiis neque nulla architecto cupiditate similique. Eum aut cum.",Compañía Nacional de Tecnología,Bogotá,Ventas,2024-01-18,vacante/images/default.jpeg
"Lecturer, higher education",Corrupti modi amet maiores excepturi perspiciatis at. Fugiat voluptate consequatur iste. Quo nemo error cum inventore rerum voluptatum. Minima laborum ipsum.,Grupo Empresarial Latinoamericano,Pasto,Administración,2020-11-18,vacante/images/default.jpeg
Biomedical engineer,"Numquam et optio repellendus. Vitae nam quo. Veritatis optio saepe repellendus perferendis inventore.
Ratione excepturi cumque.
Adipisci est error eos cum cum. Atque alias aliquam sed officiis.",Sistemas Digitales S.A.,Villavicencio,Diseño,2020-11-04,vacante/images/default.jpeg
Catering manager,"Sed possimus at alias cumque. Culpa distinctio illum fuga eaque.
Perferendis fugiat sequi animi enim sequi totam quis. Temporibus sunt dignissimos voluptates reiciendis sit sequi eligendi.",Corporación Innovadora,Pasto,Contabilidad,2023-07-14,vacante/images/default.jpeg
Warden/ranger,"Recusandae hic vero natus iste. Voluptas dignissimos iure itaque repellendus nihil voluptatem.
Minus dolor quisquam libero. Ab veritatis modi nesciunt ipsam aliquid consequuntur. Ex quaerat impedit vitae quae mollitia neque.",Soluciones Financieras Ltda.,Barranquilla,Soporte Técnico,2021-06-07,vacante/images/default.jpeg
Trade mark attorney,Eius beatae ipsum officiis deleniti perferendis tempora iure. Molestiae minus veritatis consectetur fuga occaecati. Quis error molestiae neque.,Grupo Empresarial Latinoamericano,Armenia,Recursos Humanos,2022-04-22,vacante/images/default.jpeg
"Surveyor, planning and development","Reiciendis amet saepe perferendis rem reiciendis. Nulla mollitia deleniti facilis veritatis possimus commodi sunt.
Temporibus numquam eveniet impedit ratione quidem architecto. Mollitia veniam repudiandae quos.",Consultores Globales,Medellín,Ventas,2023-07-06,vacante/images/default.jpeg
Stage manager,Repellendus nostrum enim dolorem maiores excepturi. Reprehenderit voluptatum molestias ducimus iusto omnis ab. Iste temporibus ut quasi facere accusamus.,Soluciones Financieras Ltda.,Bogotá,Administración,2020-11-09,vacante/images/default.jpeg
"Engineer, materials",Eum rem nam vitae ducimus placeat suscipit. Impedit animi voluptatem beatae minus quod consequatur. Blanditiis quasi accusamus.,Grupo Empresarial Latinoamericano,Barranquilla,Consultoría,2023-03-24,vacante/images/default.jpeg
Software engineer,"Cum accusantium aliquam id corporis voluptate.
Sed ducimus non incidunt tenetur. Dolorem quidem architecto aut voluptates. Iusto sequi saepe fuga adipisci sit impedit.
Cum suscipit deserunt repellat. Nisi facilis unde iste.",Corporación Innovadora,Pereira,Consultoría,2023-04-02,vacante/images/default.jpeg
Database administrator,"Facilis minus eius dolorem. Eius repellat fugiat doloribus.
Corporis aut laudantium iusto voluptas. Reprehenderit rerum eveniet labore quae accusamus animi. Sunt voluptatum consectetur commodi.",Consultores Globales,Barranquilla,Administración,2023-04-26,vacante/images/default.jpeg
Event organiser,"Esse totam suscipit unde nam animi. Dolorum odio perferendis repudiandae. Maxime voluptatem quidem.
Vel accusantium sapiente ducimus distinctio. Ea expedita dolor doloribus.
Est deserunt aliquam. Vero impedit architecto harum odio provident.",Grupo Empresarial Latinoamericano,Manizales,Investigación,2022-12-24,vacante/images/default.jpeg
Press photographer,"Totam et consequatur laborum a eveniet. Facere tempora voluptate saepe.
Vel mollitia excepturi consequatur id minima ratione. Maiores voluptatibus iste vel dolore. Cupiditate aut consequuntur fugit ullam magni sunt.",Estrategias de Marketing Digital,Villavicencio,Consultoría,2020-02-04,vacante/images/default.jpeg
Bonds trader,"Commodi minima eligendi illum aliquam explicabo placeat. Quas explicabo ullam ratione aperiam consequatur.
Repudiandae placeat autem consequatur similique hic voluptatum. Occaecati distinctio harum repellendus eveniet.",Sistemas Digitales S.A.,Cartagena,Contabilidad,2023-09-22,vacante/images/default.jpeg
"Surveyor, mining","Fugiat asperiores odit a nihil. Totam sunt laboriosam illo velit.
Sequi laboriosam dicta quis velit. Doloremque occaecati sequi eos voluptates error provident incidunt. Magnam libero optio omnis suscipit voluptas porro.",Sistemas Digitales S.A.,Bogotá,Recursos Humanos,2022-09-06,vacante/images/default.jpeg
Environmental education officer,"Ratione molestiae quaerat hic eos quas. Ratione facilis dolor.
Atque reiciendis quo odio deleniti odit. Excepturi consequatur dicta tempora fugit. Ratione neque autem maxime officia necessitatibus laborum. Modi repellat aspernatur corrupti.",Consultores Globales,Cartagena,Recursos Humanos,2024-04-23,vacante/images/default.jpeg
"Scientist, research (medical)","Sunt voluptas dolore aperiam corrupti dicta. Nam dolorum fugit officia distinctio.
Nisi doloremque at culpa recusandae inventore. Ullam quaerat illum esse ipsum debitis beatae. Eum at aspernatur odio et nemo in.",Servicios de Infraestructura TIC,Villavicencio,Investigación,2022-06-16,vacante/images/default.jpeg
"Surveyor, mining",Sapiente repudiandae distinctio corrupti ducimus accusamus a. Error in nobis doloribus unde expedita. Architecto ullam corrupti quidem voluptatibus. Impedit ut nemo et.,Estrategias de Marketing Digital,Pasto,Marketing,2024-03-25,vacante/images/default.jpeg
"Journalist, broadcasting",Libero delectus eveniet quaerat ullam. Fugit doloribus distinctio amet. Molestiae facilis quae perferendis accusamus voluptates sit. Incidunt quod beatae molestias in accusantium provident.,Servicios de Infraestructura TIC,Neiva,Recursos Humanos,2023-11-15,vacante/images/default.jpeg
Chartered accountant,"Vero itaque aliquam illo culpa laborum. Ipsa facilis adipisci fugiat blanditiis porro.
Tempora voluptatem accusantium quis ipsa libero. Est reiciendis magnam eligendi neque.
Provident quas sint corporis. Sed nesciunt earum iste.",Soluciones Financieras Ltda.,Bucaramanga,Ventas,2021-05-11,vacante/images/default.jpeg
"Programme researcher, broadcasting/film/video",Veniam excepturi rem blanditiis blanditiis. Porro esse similique quia minima nulla enim. Quisquam tenetur fuga consectetur rem natus recusandae quo. Similique delectus eaque quis ipsa.,Fábrica de Software Internacional,Medellín,Desarrollo,2021-08-07,vacante/images/default.jpeg
"Scientist, research (life sciences)",Vel quod vitae. Voluptas distinctio recusandae illum molestiae nisi. Soluta quo nam ducimus suscipit harum.,Soluciones Financieras Ltda.,Cúcuta,Desarrollo,2024-07-08,vacante/images/default.jpeg
Archivist,"Distinctio necessitatibus laborum recusandae consequuntur dicta quaerat fugit. Quibusdam architecto dignissimos.
Nostrum architecto tempore magni eos recusandae consectetur voluptates. Dolore beatae iste illum eum.",Compañía Nacional de Tecnología,Bucaramanga,Diseño,2022-01-12,vacante/images/default.jpeg
Interior and spatial designer,"Cumque tempore repellat laboriosam sed ipsum. Magnam praesentium ex tenetur illum itaque.
Quis architecto beatae odio fuga soluta rem. Facere odit pariatur tempore officia illum debitis.",Consultores Globales,Armenia,Investigación,2023-04-28,vacante/images/default.jpeg
Counselling psychologist,"Sint nihil consequuntur ipsum ex. Veniam neque laboriosam cumque iure id qui. Non fugiat sapiente omnis laudantium.
Iste autem neque officia. Mollitia quisquam sequi modi non hic dolor.",Corporación Innovadora,Bogotá,Soporte Técnico,2023-03-27,vacante/images/default.jpeg
Data processing manager,Perferendis veniam expedita commodi animi. Excepturi placeat consequatur ducimus enim perspiciatis molestiae. Aut necessitatibus maxime nobis nesciunt aliquam aliquid.,Estrategias de Marketing Digital,Barranquilla,Soporte Técnico,2022-04-13,vacante/images/default.jpeg
"Research officer, political party",Doloremque assumenda iure fuga excepturi ut eius. Magnam deleniti voluptatem. Ab fugit vitae ex nesciunt quis nemo soluta.,Grupo Empresarial Latinoamericano,Pasto,Marketing,2021-06-10,vacante/images/default.jpeg
Customer service manager,"Illum iste saepe magnam in libero adipisci recusandae. Veniam perferendis inventore porro adipisci modi optio.
Accusantium debitis quisquam molestias. Laborum repudiandae ipsum harum. Vel illo necessitatibus.",Proyectos Empresariales,Neiva,Soporte Técnico,2020-04-19,vacante/images/default.jpeg
Emergency planning/management officer,"Laborum mollitia qui quo perspiciatis. Adipisci ipsum veritatis aliquid vero ut tempora.
Eum debitis consequatur illo in odio. Alias occaecati tempore autem sunt.",Compañía Nacional de Tecnología,Armenia,Marketing,2020-04-08,vacante/images/default.jpeg
Restaurant manager,Consequuntur culpa aut delectus. Perferendis magnam quas ducimus officiis voluptatum sequi reprehenderit. Magni asperiores perspiciatis possimus odit dolore consectetur necessitatibus.,Proyectos Empresariales,Pasto,Ventas,2023-04-27,vacante/images/default.jpeg
Manufacturing engineer,"Repellat expedita doloremque neque repellendus dolores. Suscipit ducimus veniam eaque neque.
Nemo laudantium pariatur saepe occaecati. Delectus ut soluta sit iste hic.",Grupo Empresarial Latinoamericano,Barranquilla,Consultoría,2021-02-08,vacante/images/default.jpeg
Occupational therapist,"Nam aliquam debitis officiis repudiandae possimus culpa. Laudantium eius sapiente natus excepturi alias. Assumenda perferendis architecto dolorem iure quis voluptas.
Cumque quos corrupti quis. Modi doloremque nostrum quam fugit dolorum illo.",Fábrica de Software Internacional,Cartagena,Investigación,2022-12-15,vacante/images/default.jpeg
Clinical embryologist,"Fugit labore eveniet esse magni ipsam libero. Labore ullam magni totam ratione.
Amet facere facere dolor adipisci omnis.",Servicios de Infraestructura TIC,Bogotá,Recursos Humanos,2024-04-03,vacante/images/default.jpeg
"Research officer, government","Maxime itaque veritatis exercitationem esse eos eligendi autem. Rem voluptates iste veniam voluptatem id magni.
Dignissimos deleniti dignissimos voluptas.",Estrategias de Marketing Digital,Villavicencio,Contabilidad,2020-03-23,vacante/images/default.jpeg
Solicitor,"Laudantium officia ea sapiente. Molestiae molestiae cumque. Nihil doloremque officia tenetur.
Quia similique expedita consectetur nemo et. Porro consequuntur natus voluptate nemo repudiandae ex.",Estrategias de Marketing Digital,Bucaramanga,Consultoría,2024-01-18,vacante/images/default.jpeg
"Designer, television/film set","Nulla corporis laboriosam distinctio eaque aperiam. Harum debitis itaque voluptas. In cumque sunt assumenda.
Dicta perferendis recusandae dolorum nesciunt nemo totam. Excepturi explicabo deleniti perferendis excepturi ullam ex expedita.",Compañía Nacional de Tecnología,Cali,Desarrollo,2024-01-21,vacante/images/default.jpeg
Electrical engineer,Natus debitis accusamus optio saepe adipisci odio. Perferendis dolor quos sapiente nisi cumque necessitatibus. Similique culpa sequi consectetur eius possimus consequatur. Nostrum corporis quidem cumque cum a.,Soluciones Financieras Ltda.,Cali,Desarrollo,2020-09-30,vacante/images/default.jpeg
Field seismologist,Magni sapiente necessitatibus blanditiis ullam numquam vitae. Recusandae soluta rerum impedit ea. Voluptatum alias non ipsa.,Proyectos Empresariales,Cúcuta,Recursos Humanos,2021-10-25,vacante/images/default.jpeg
Minerals surveyor,"In vero modi architecto quia. Reprehenderit eius odio deleniti sequi iste. At modi totam accusamus maxime.
Totam nostrum mollitia incidunt at at. Earum dolore totam nihil voluptatem facilis quo. Id nulla hic aperiam.",Estrategias de Marketing Digital,Ibagué,Desarrollo,2021-09-21,vacante/images/default.jpeg
Jewellery designer,Et omnis veniam delectus rem cupiditate. Similique magnam voluptate voluptatibus eos dolorem. Reiciendis provident sed amet illo iure neque. Quam a labore.,Proyectos Empresariales,Medellín,Ventas,2023-03-08,vacante/images/default.jpeg
"Therapist, music",Explicabo a magnam ea officia culpa modi. Maiores omnis maiores repellendus error expedita illo dolorum. Officiis nisi eos quia quos temporibus architecto.,Estrategias de Marketing Digital,Barranquilla,Diseño,2024-03-19,vacante/images/default.jpeg
Management consultant,Recusandae dignissimos minus dolorem. Consectetur asperiores impedit at impedit cum consequatur voluptatem. Reiciendis quibusdam optio.,Estrategias de Marketing Digital,Cali,Ventas,2021-12-28,vacante/images/default.jpeg
Textile designer,Voluptatibus eum nesciunt quo suscipit. Doloribus odit sunt. Ad tenetur cumque magnam similique sunt omnis.,Estrategias de Marketing Digital,Manizales,Administración,2023-09-26,vacante/images/default.jpeg
"Designer, blown glass/stained glass","Accusantium explicabo delectus sed officia. Non pariatur eum veniam amet dolor quasi.
Aperiam ex omnis eos. Dolorem dolore laboriosam eos officia distinctio delectus.",Corporación Innovadora,Pasto,Marketing,2025-01-22,vacante/images/default.jpeg
Social researcher,"Vero asperiores ut perspiciatis magni. Aliquam perferendis assumenda blanditiis ipsam quod provident quibusdam. Quod nulla fugiat ipsam sapiente.
Voluptatibus non ea amet libero. Facilis fuga iusto voluptate. Facilis quidem fugit.",Fábrica de Software Internacional,Cúcuta,Administración,2024-08-10,vacante/images/default.jpeg
"Engineer, energy","Quas autem quisquam. Ut perferendis delectus quis inventore eius. Iure dolorem ex perspiciatis nisi facilis.
Tempore omnis doloremque velit sint. Officiis dicta asperiores magni sunt numquam totam. Magni quasi modi fuga.",Proyectos Empresariales,Pereira,Investigación,2020-01-23,vacante/images/default.jpeg
Ambulance person,Reprehenderit esse nemo nostrum officiis deleniti. Delectus dignissimos reiciendis porro dignissimos aspernatur soluta autem. Mollitia maiores maxime facere est.,Fábrica de Software Internacional,Medellín,Diseño,2022-05-25,vacante/images/default.jpeg
Youth worker,"Accusantium nulla eos voluptatibus.
Incidunt fugiat beatae molestias. Magnam quibusdam nulla quae.
Nam labore iure ipsa illo dolore. Reiciendis possimus porro quisquam.
Rem earum veritatis. In repudiandae veniam architecto.",Compañía Nacional de Tecnología,Cartagena,Administración,2020-02-15,vacante/images/default.jpeg
Hydrogeologist,"Maiores animi quasi dolorem doloremque. Aliquam explicabo iusto alias. Fugiat qui illo pariatur.
Rerum earum aliquid harum recusandae itaque dolor. Voluptate alias aspernatur voluptate distinctio sapiente.",Corporación Innovadora,Bucaramanga,Ventas,2022-12-18,vacante/images/default.jpeg
Oncologist,Eveniet labore fugiat vitae quidem enim soluta. Facilis eveniet officiis ullam. Eligendi soluta praesentium voluptatem qui laudantium voluptatibus cupiditate.,Fábrica de Software Internacional,Cúcuta,Desarrollo,2023-07-03,vacante/images/default.jpeg
Higher education lecturer,"Reiciendis eius ex quis assumenda.
Minus aliquam sint dignissimos.
Minima voluptate debitis suscipit.
Dolorem ad veritatis. Dolores non veritatis enim doloremque cum quisquam. Quibusdam consequatur deserunt odio molestiae dignissimos.",Fábrica de Software Internacional,Armenia,Desarrollo,2022-05-05,vacante/images/default.jpeg
"Therapist, art","Architecto dicta porro et nobis magni. Harum quia ab culpa dolores. Nulla deleniti ut culpa.
Beatae voluptas rerum. Suscipit repellendus deleniti tempora officia cumque. Voluptates impedit ex aliquam velit vel veniam nostrum.",Corporación Innovadora,Neiva,Recursos Humanos,2024-12-18,vacante/images/default.jpeg
Community education officer,"Sapiente pariatur at sequi dolorem officiis iure. Quo nemo facilis aut.
Illum hic veniam dolore. Reprehenderit quasi tenetur eveniet pariatur eaque molestias. Occaecati perferendis ad odit occaecati exercitationem.",Proyectos Empresariales,Pasto,Marketing,2025-03-24,vacante/images/default.jpeg
"Production designer, theatre/television/film","Dolores at consequatur dolor. Sit voluptatem aperiam quae eveniet cupiditate dicta.
Consequuntur quas sunt error quidem officiis ipsam. Necessitatibus sunt porro in.",Corporación Innovadora,Pasto,Administración,2024-08-30,vacante/images/default.jpeg
Television production assistant,"Laudantium nobis quaerat dolores quo tenetur. Quidem illum sed autem consequuntur consequatur. Libero praesentium laborum.
Dignissimos mollitia quibusdam ipsa quia. Nostrum unde voluptatibus optio veritatis.",Compañía Nacional de Tecnología,Bucaramanga,Recursos Humanos,2022-08-30,vacante/images/default.jpeg
"Lecturer, further education","Eaque cupiditate maiores culpa. Molestiae cupiditate minima est. Eos illo voluptatibus sint sunt eaque. Laudantium quibusdam repellat repudiandae.
Repudiandae praesentium dolor sunt. Hic id odio tempora dolores.
Enim soluta iure assumenda dolor.",Sistemas Digitales S.A.,Manizales,Recursos Humanos,2021-06-03,vacante/images/default.jpeg
Mental health nurse,"Expedita ab vel cum aut rerum. Incidunt fuga accusantium adipisci ea.
Iste aperiam possimus officia quidem expedita. Sequi aliquam itaque laboriosam libero.
Adipisci voluptatem adipisci quia quia. Reprehenderit rerum quo qui.",Grupo Empresarial Latinoamericano,Neiva,Recursos Humanos,2023-04-17,vacante/images/default.jpeg
Mechanical engineer,Voluptates provident porro ea blanditiis. Laudantium fugit soluta numquam repellat reprehenderit suscipit. Iste voluptates amet.,Proyectos Empresariales,Bogotá,Soporte Técnico,2023-01-04,vacante/images/default.jpeg
"Designer, furniture","Fuga ducimus numquam dolor beatae. Quaerat hic eius eius quaerat labore voluptatem.
Natus nemo sit itaque cupiditate. Harum qui omnis distinctio neque. Voluptatem aliquid sunt qui unde ut laudantium architecto.",Soluciones Financieras Ltda.,Bucaramanga,Recursos Humanos,2021-10-10,vacante/images/default.jpeg
"Psychotherapist, dance movement","Nostrum autem officia perspiciatis soluta. Autem ab magnam odio quas ratione quas. Quibusdam debitis sint pariatur minima.
Et iusto delectus molestiae. Alias maiores commodi quos ipsa exercitationem.",Soluciones Financieras Ltda.,Pasto,Administración,2020-03-07,vacante/images/default.jpeg
"Pharmacist, community",Autem repellat laudantium dicta incidunt consectetur fugiat harum. Alias rem dolores nihil labore nobis doloribus occaecati.,Corporación Innovadora,Bogotá,Contabilidad,2024-01-31,vacante/images/default.jpeg
Quarry manager,"Repudiandae officia distinctio rem. Ipsam temporibus autem minus.
Placeat laborum aspernatur ab. Quo enim excepturi aliquid fugit blanditiis.",Proyectos Empresariales,Manizales,Desarrollo,2024-03-07,vacante/images/default.jpeg
Rural practice surveyor,"Inventore est dolor nobis dolorum modi. Asperiores necessitatibus consequatur quis quae inventore qui.
Odit quos animi tenetur ea. Aliquam explicabo sapiente accusantium corporis incidunt.",Grupo Empresarial Latinoamericano,Cúcuta,Diseño,2023-01-08,vacante/images/default.jpeg
"Psychologist, prison and probation services","Ea quia iure. Quia nesciunt velit ad error. Amet eum dolores.
Fugiat inventore modi delectus omnis magnam. Voluptas vero provident labore nesciunt voluptatum nemo. Eius eum quae accusantium.",Compañía Nacional de Tecnología,Bucaramanga,Consultoría,2020-12-29,vacante/images/default.jpeg
Office manager,"Nemo quisquam qui possimus. Facere assumenda sint illo perspiciatis atque earum. Voluptates beatae officiis.
Veritatis numquam quaerat optio ipsam cumque nisi. Nam aut unde omnis magnam.",Soluciones Financieras Ltda.,Cúcuta,Recursos Humanos,2024-05-20,vacante/images/default.jpeg
Community arts worker,"Accusantium possimus beatae ullam occaecati consequatur quas. Rerum rem tempore.
Animi et corporis nobis sit quaerat fuga. Error molestiae minima pariatur eveniet voluptatibus atque labore.",Estrategias de Marketing Digital,Barranquilla,Diseño,2024-06-06,vacante/images/default.jpeg
"Programme researcher, broadcasting/film/video","Minus quibusdam harum. Ut dolore quia ullam.
Nesciunt exercitationem commodi maxime sit quibusdam. Nobis ipsum nulla.",Consultores Globales,Barranquilla,Soporte Técnico,2023-03-22,vacante/images/default.jpeg
"Engineer, manufacturing","Necessitatibus vitae corrupti nobis eos iure dolorum. Aliquid tempore harum cumque ad officia.
Delectus accusantium aperiam ducimus mollitia. Maxime aliquam dicta facilis.",Sistemas Digitales S.A.,Cartagena,Recursos Humanos,2024-01-28,vacante/images/default.jpeg
Counsellor,"Odio quam ut est natus est.
Blanditiis ab voluptatum nostrum maiores. Id dolorem unde praesentium perspiciatis praesentium esse.",Proyectos Empresariales,Cartagena,Administración,2024-03-04,vacante/images/default.jpeg
"Education officer, community","Id odit illo veniam facilis consequatur.
Laboriosam magnam ex provident. Tempore facilis ratione reiciendis nam quos optio. Animi vitae temporibus eum ipsa iusto aliquid.
Debitis inventore incidunt animi eligendi.",Consultores Globales,Ibagué,Soporte Técnico,2020-11-26,vacante/images/default.jpeg
Energy manager,"Consectetur dicta quibusdam veniam natus. Vel adipisci illo placeat maxime corrupti.
Laudantium dicta iure. Distinctio iste ut sed aut laborum. Neque maiores quo.",Fábrica de Software Internacional,Bogotá,Investigación,2021-09-08,vacante/images/default.jpeg
"Engineer, site","Dignissimos deserunt distinctio alias ipsum nihil. Laudantium quis voluptatibus ipsa eligendi aperiam.
Tempora repellendus exercitationem a suscipit porro. Atque rerum placeat dignissimos velit ad quidem.",Fábrica de Software Internacional,Armenia,Investigación,2021-07-22,vacante/images/default.jpeg
"Designer, jewellery","Maiores harum ducimus aliquam corrupti voluptatem.
Aliquid id iusto doloremque aliquam. Quae mollitia ab nisi id similique vel. Vel iste atque corrupti impedit id saepe.",Proyectos Empresariales,Santa Marta,Recursos Humanos,2023-09-11,vacante/images/default.jpeg
Bonds trader,Vitae atque ex nam labore voluptates. Eaque ad vero odio natus illo quo. Dolores molestiae quia voluptates explicabo sint voluptatem.,Compañía Nacional de Tecnología,Pereira,Investigación,2023-08-03,vacante/images/default.jpeg
Charity officer,"Ad culpa ipsa voluptate. Officiis rem saepe libero veritatis suscipit.
Eaque modi quo esse voluptatum. A dolorum unde itaque aperiam occaecati. Neque nisi cumque incidunt iste.
Distinctio impedit nulla iure. Placeat inventore excepturi nisi.",Servicios de Infraestructura TIC,Villavicencio,Marketing,2022-07-30,vacante/images/default.jpeg
